 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"42 Santa Catarina";-;1;-;-;-;1;113;766;842;2519;5870;14732;29970;29011;31710;31495;31708;32309;32942;30849;32316;32539;29345;29185;30670;28679;34217;31468;33148;33285;34571;35187;32950;33136;32068;29920;30970;29943;35207;32185;33375;32530;33192;34406;32474;32584;32042;30290;32379;31731;34864;33265;35299;33227;34076;34901;32607;33834;32561;30738;33117;31893;35653;33820;37704;34799;35511;36588;33848;35745;31946;28459;33084;30297;34460;36019;35428;35313;36813;36315;35544;37970;34965;31506;34818;33348;35662;35787;37523;36734;38715;37794;37913;38345;35773;32890;34341;33013;39243;36843;39179;38671;40140;39326;38783;38670;38190;34571;37302;36710;40699;39367;40507;40894;39950;41147;38965;39167;37552;34224;36215;34638;41317;37572;43543;40977;40915;41769;38640;40470;39271;36742;37623;35757;41157;41854;41297;41760;44447;42864;40099;42959;40833;37606;40885;38417;41155;43029;45149;41956;45905;42857;43007;45363;41811;39041;42091;39876;37662;28845;30926;33258;34906;33494;35997;38946;39063;35279;32737;26920;13577;5728232
"43 Rio Grande do Sul";-;-;-;-;-;4;19;251;1261;4907;10116;27817;58910;54736;61611;59890;59106;60888;64579;61252;61948;62243;58598;55442;59078;52109;63522;59407;61791;61262;66785;62365;60969;63003;60792;58292;59683;54080;64897;60314;62529;60718;63078;64043;59741;60225;58004;55019;59554;53992;61470;58049;62426;61120;61119;61506;57716;59073;58085;56091;60761;54893;62888;58759;64643;61766;65074;64910;57700;62263;57086;52090;60471;52406;59976;62734;61799;61952;67192;64191;62106;66348;60927;57322;63431;57961;62697;62347;65723;63142;67770;65848;65575;67258;62363;59247;62390;55800;69235;64833;65741;65228;66427;64414;61897;62601;61686;58602;60805;57480;64895;62435;65098;64884;64738;67086;61981;62725;59080;57933;61216;54325;67529;59865;68150;66518;66237;66845;60222;62825;60568;57500;62521;54218;63875;64284;63550;62887;67131;66614;59802;65061;60075;56113;62443;56389;61635;64444;68285;65770;69225;67859;64316;66553;61739;59523;64798;58095;56860;44722;50489;52459;53034;53711;55363;58700;59128;55855;55226;44292;22380;9708322
"50 Mato Grosso do Sul";-;-;-;-;-;-;12;162;421;954;2198;6232;12254;12062;13397;13124;12990;13383;13603;12686;13317;13340;12329;11137;11884;11519;14521;13453;13163;12981;13726;14409;13626;13226;13429;12494;13342;13084;16236;13851;13625;13129;13006;14588;14086;13251;12945;12268;13317;12779;14153;13631;14134;13112;13269;13007;12673;12521;12792;12211;12848;12837;14344;13190;14494;13282;13292;13685;12779;13117;12252;11340;13165;12453;14291;14361;14309;13552;14087;13468;13737;13937;13170;12495;13048;12332;13768;13847;14497;13587;13825;14158;13591;14088;12931;12708;12887;12255;15252;14287;14433;13954;13648;13779;13425;13374;12923;12632;13307;13262;14483;14074;14636;14181;13521;13970;13878;13286;12837;12290;13344;12325;15062;13808;15366;14044;14156;14387;13421;13677;13323;12849;13703;12293;14594;14534;14615;13933;14648;14605;13923;14429;14006;13123;14012;13582;14841;15468;16162;14816;14758;14849;14724;14844;14442;14020;15223;14699;14463;10843;11586;11609;12231;12267;12731;13154;12819;12036;10146;7671;3149;2137794
"51 Mato Grosso";3;2;-;-;-;1;6;102;320;977;2085;7975;13961;13522;16016;15480;15568;15085;15150;14483;14952;14449;13244;12567;13878;12784;16552;15968;15873;14763;14775;15580;14671;14052;14747;13942;15115;13939;16803;15284;15543;14217;14731;15573;15406;14688;14465;14399;14846;13597;15193;14825;14675;14256;13854;15041;14627;14533;14659;14248;14459;13941;16172;15624;16457;15126;15974;15989;14903;15846;14253;13982;15151;13818;16113;16474;15838;14996;15069;15503;14929;15695;15015;14186;14926;14431;16263;15836;16405;15718;15827;15799;15939;16328;15028;14158;14347;13745;16725;16198;16560;15310;15647;16065;15798;15664;15561;14905;15157;15219;17420;16690;17145;16279;15653;16715;16225;15879;14405;14365;15145;14672;17388;16237;16957;16291;16149;16379;15806;15873;14800;14317;15425;14307;17145;16825;17021;16036;16427;16308;15615;16561;15139;14447;15742;15054;16601;16936;17606;16340;16851;16797;16697;17200;15691;14500;15955;14939;15093;11701;12809;12909;13666;13922;14257;14568;13946;13228;12207;10189;6787;2421359
"52 Goiás";3;3;-;-;-;3;7;298;812;1988;4158;15850;31520;28761;33751;34080;29786;28488;28751;30948;32218;29253;25739;24626;28061;26735;33745;31661;31135;28794;29833;31998;31121;29644;30215;28874;32623;30627;35019;32086;31381;29121;28403;32536;32248;29740;29536;27917;29938;28997;33829;30013;29668;27611;28496;30702;29736;29264;28572;26054;27950;27873;30700;28945;28566;27102;26099;28976;27991;27783;24473;23446;28001;27249;31102;31633;30203;28486;27888;29666;29565;29875;28490;26931;28851;27349;29595;31127;31264;28599;28307;29743;30722;30137;27841;27571;28798;27522;32542;31375;31753;29440;28807;29066;29147;29023;27352;25967;27206;27333;30724;28699;28871;27737;26351;28309;27524;25535;24310;24175;26543;25473;30469;28035;29851;27343;26852;28932;26765;28296;26454;25708;27719;25480;29211;28481;28692;26401;26744;27909;27232;27709;26380;25947;27589;26353;28366;30316;30868;28249;28659;29103;28726;29589;27592;26978;28624;27150;26486;21089;22844;24001;25576;25837;26288;26792;24894;23756;22425;18442;12400;4532259
"53 Distrito Federal";4;12;1;-;1;1;9;47;281;1918;4752;9370;14525;14212;16576;16585;15974;15376;15099;15648;16040;15609;15052;14155;14664;14030;17386;16146;16175;15313;15674;15833;15794;14766;14992;14371;15434;14567;17306;16292;16707;14863;15301;16281;15900;15454;14697;14093;15321;15093;16675;16468;16519;15286;15199;16510;15795;15388;15213;14322;15390;14774;16407;15850;16605;15543;15753;16262;15394;16422;14267;14561;15584;14411;16515;17238;16483;15579;16034;16038;15563;15904;13951;13897;14731;14553;15985;15984;16208;14863;15397;14949;14903;14852;13938;13096;13379;12577;15473;15840;15513;14266;13976;13908;13590;12823;13129;13338;14092;14148;16122;15722;16453;16227;15782;17019;16000;15856;14898;15573;16582;15818;19396;16986;15357;16987;15806;17143;16192;17063;15613;15472;16630;15458;18084;17561;18035;16899;17108;17576;17661;17534;17409;17158;18334;18045;19814;20498;20370;18496;19792;20342;19898;20198;17807;17381;18316;17617;18055;15850;16647;16563;16931;17705;17613;18395;17250;17473;17498;14852;11179;2559110
"Total";61;63;4;6;17;36;384;6329;15959;53980;133204;392919;895814;834137;942732;964454;943517;914995;935226;919236;928812;917898;843621;808110;869237;816691;1006435;938785;962647;924247;960327;962202;945613;939430;917539;866580;921105;867333;1041253;963535;998540;925634;943390;989806;950932;934723;923251;887638;946148;909894;1002185;951302;991713;929079;925216;975874;921179;928824;913247;872424;919754;875581;1002824;938309;1003562;926346;949867;965727;905442;942005;861210;812592;912054;832940;952786;987242;976338;934748;957903;957623;940344;969919;900156;857385;933468;884241;950016;958318;996651;931561;972976;973637;978926;982542;916133;875234;910856;846260;1029737;975551;999090;959126;969805;964089;943658;944591;913472;869186;910257;899743;1012315;968163;990682;965459;951509;981121;932211;921837;875616;847302;915737;856609;1026345;938441;1034283;976329;980336;1015387;947364;984322;942404;905288;974395;877783;1019807;1025421;1036402;987223;1014635;1034271;972611;1029284;963709;922106;993855;938907;1010523;1044759;1089587;1000733;1052412;1042030;1023631;1059422;986337;943243;1007659;945333;924374;716175;779876;803726;860041;869935;889745;921859;902527;858274;816937;667719;446267;149369846
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
